,trip_duration,trip_distance,census_tract_start,census_tract_end,cost,start_zip,end_zip
0,3498,9999,48453001305,48453001305,9.745,78704,78704
1,2506,9999,48453001303,48453001100,7.265,78704,78767
2,2506,9999,48453001303,48453001100,7.265,78704,78768
3,2506,9999,48453001303,48453001100,7.265,78704,78701
4,2506,9999,48453001303,48453001100,7.265,78704,78703
5,1926,9999,48453001100,48453001305,5.815,78701,78704
6,1926,9999,48453001100,48453001305,5.815,78703,78704
7,1926,9999,48453001100,48453001305,5.815,78767,78704
8,1926,9999,48453001100,48453001305,5.815,78768,78704
9,1907,9999,48453001100,48453002107,5.7675,78701,78723
